design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error,model,source_path
s5378,,total_negative_slack_ns,,0.051297573426849,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s5378,3.0,total_negative_slack_ns,288.0,0.0758841633796691,9.894845008850098,15.446189880371094,-42.78767776489258,0.0,-11.415985107421877,-4.647200584411621,6.768784523010254,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s5378,3.0,total_negative_slack_ns,288.0,0.9515029191970824,2.1023924350738525,3.538472890853882,-42.78767776489258,0.0,-11.415985107421877,-10.093287467956545,1.322697997093201,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s5378a,,total_negative_slack_ns,,-0.0852309966285054,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s5378a,2.0,total_negative_slack_ns,288.0,0.1394906640052795,10.063023567199709,14.801928520202637,-43.22509002685547,0.0,-11.281671524047852,-5.840187072753906,5.441483497619629,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s5378a,2.0,total_negative_slack_ns,288.0,0.8811602592468262,4.615899085998535,5.500742435455322,-43.22509002685547,0.0,-11.281671524047852,-11.530593872070312,-0.2489223480224609,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s641,,total_negative_slack_ns,,-3.55210834663043,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s641,1.0,total_negative_slack_ns,288.0,-0.3388898372650146,4.28684663772583,5.114160537719727,-11.92619514465332,0.0,-3.298856496810913,0.9879899621009828,4.28684663772583,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s641,1.0,total_negative_slack_ns,288.0,0.8635877370834351,1.25410795211792,1.6324076652526855,-11.92619514465332,0.0,-3.298856496810913,-4.121138572692871,-0.8222821354866028,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s713,,total_negative_slack_ns,,0.2400128172390331,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s713,5.0,total_negative_slack_ns,288.0,-0.0873379707336425,3.399256706237793,4.353251457214356,-11.170372009277344,0.0,-2.920249938964844,0.4707446694374084,3.3909947872161865,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
